epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,15173.5,0.90886,0.63535,0.90244,0.96663,1,0.995,0.67164,1.11888,0.74583,0.91202,0.000693305,0.000693305,0.000693305
61,15212.5,0.95107,0.62465,0.92071,0.96226,1,0.995,0.70894,1.21411,0.78644,0.96146,0.000676802,0.000676802,0.000676802
62,15238.2,0.96724,0.63901,0.92101,0.97635,1,0.995,0.62187,1.25951,0.77944,1.04911,0.000660299,0.000660299,0.000660299
63,15276.5,0.97763,0.63659,0.93335,0.96767,1,0.995,0.60943,1.26753,0.72688,1.05206,0.000643795,0.000643795,0.000643795
64,15312,0.91083,0.61948,0.93263,0.97302,1,0.995,0.60943,1.44048,0.73894,1.04461,0.000627292,0.000627292,0.000627292
65,15337.3,0.94381,0.6179,0.93755,0.9628,1,0.995,0.60943,1.39464,0.72273,1.03991,0.000610789,0.000610789,0.000610789
66,15382.5,0.95072,0.63976,0.92013,0.9619,1,0.995,0.65919,1.25486,0.68125,1.01997,0.000594286,0.000594286,0.000594286
67,15409.3,0.95392,0.61973,0.94435,0.95776,1,0.995,0.63433,1.28974,0.74173,0.99903,0.000577782,0.000577782,0.000577782
68,15449.3,0.96314,0.63349,0.93688,0.96924,1,0.995,0.64142,1.33496,0.84668,1.03106,0.000561279,0.000561279,0.000561279
69,15487.3,0.96111,0.61655,0.92413,0.9551,1,0.995,0.58462,1.31419,0.8315,1.02618,0.000544776,0.000544776,0.000544776
70,15525.7,0.90895,0.60251,0.92583,0.94851,1,0.995,0.62197,1.36597,0.80999,1.01872,0.000528272,0.000528272,0.000528272
71,15550.9,0.9303,0.61598,0.93061,0.94186,1,0.995,0.57225,1.53139,0.7706,1.02769,0.000511769,0.000511769,0.000511769
72,15587.6,0.91235,0.5857,0.90859,0.95132,1,0.995,0.65927,1.39314,0.8055,1.01555,0.000495266,0.000495266,0.000495266
73,15626.6,0.93662,0.58872,0.92371,0.95281,1,0.995,0.65928,1.25784,0.7575,0.99132,0.000478762,0.000478762,0.000478762
74,15655.7,0.95024,0.59599,0.92281,0.96117,1,0.995,0.60956,1.38123,0.72212,0.99449,0.000462259,0.000462259,0.000462259
75,15689.8,0.88147,0.58826,0.90968,0.95285,1,0.995,0.57236,1.47626,0.73235,1.01046,0.000445756,0.000445756,0.000445756
76,19890.3,0.92278,0.58876,0.93506,0.94149,1,0.995,0.62215,1.36428,0.72664,1.00358,0.000429253,0.000429253,0.000429253
77,19915.4,0.87109,0.58145,0.91853,0.93934,1,0.995,0.62221,1.23332,0.73289,0.9621,0.000412749,0.000412749,0.000412749
78,19952.8,0.85224,0.57162,0.91391,0.94098,1,0.995,0.65942,1.23533,0.77029,0.93447,0.000396246,0.000396246,0.000396246
79,19980.3,0.86238,0.57289,0.91345,0.94549,1,0.995,0.65947,1.31314,0.73999,0.94848,0.000379743,0.000379743,0.000379743
80,20010.1,0.8935,0.55969,0.91087,0.95635,1,0.995,0.70931,1.15343,0.72246,0.90888,0.000363239,0.000363239,0.000363239
81,20042.9,0.88515,0.58094,0.91207,0.95545,1,0.995,0.6597,1.17368,0.75215,0.90184,0.000346736,0.000346736,0.000346736
