epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,475.926,1.19855,1.08422,1.02392,0.80396,1,0.995,0.5796,1.38606,1.92388,1.03863,0.00138644,0.00138644,0.00138644
19,502.449,1.22924,1.02249,1.01883,0.81397,1,0.995,0.67162,1.17061,1.87675,0.98483,0.00136994,0.00136994,0.00136994
20,529.114,1.25486,1.08116,1.03436,0.97468,0.5,0.995,0.57215,1.13128,2.05759,1.02934,0.00135344,0.00135344,0.00135344
21,555.775,1.25912,1.01562,1.02297,0.97447,0.5,0.995,0.52241,1.24417,2.02373,1.04174,0.00133693,0.00133693,0.00133693
22,584.892,1.1595,0.92942,1.0022,0.71208,1,0.995,0.49337,1.50881,1.7128,1.28574,0.00132043,0.00132043,0.00132043
23,613.563,1.15917,0.98253,0.9858,0.93535,1,0.995,0.63178,1.34494,1.51516,1.13488,0.00130393,0.00130393,0.00130393
24,640.622,1.26597,1.01248,1.05621,0.88481,1,0.995,0.68408,1.0956,1.15248,0.93386,0.00128742,0.00128742,0.00128742
25,667.395,1.216,0.98267,1.03013,0.89066,1,0.995,0.65925,0.98379,1.12325,0.98483,0.00127092,0.00127092,0.00127092
26,693.632,1.17454,0.94419,1.01954,0.89395,1,0.995,0.73388,1.19007,1.01016,1.03464,0.00125442,0.00125442,0.00125442
27,721.002,1.1711,0.97356,1.00204,0.89917,1,0.995,0.72143,1.12904,0.93736,0.94334,0.00123791,0.00123791,0.00123791
28,747.506,1.15768,0.89941,1.01099,0.87705,1,0.995,0.70896,1.06696,0.89656,0.94716,0.00122141,0.00122141,0.00122141
29,774.217,1.18401,0.89893,0.99337,0.84879,1,0.995,0.72142,1.10938,0.94968,0.99927,0.00120491,0.00120491,0.00120491
30,801.143,1.10084,0.82864,0.98672,0.93167,1,0.995,0.78362,0.97566,0.84387,0.98859,0.0011884,0.0011884,0.0011884
31,829.244,1.14381,0.87781,1.01166,0.95885,1,0.995,0.63574,1.01413,0.8572,0.94313,0.0011719,0.0011719,0.0011719
32,857.275,1.08902,0.84804,0.97333,0.96775,1,0.995,0.6841,1.16425,0.88482,1.01635,0.0011554,0.0011554,0.0011554
33,883.672,1.14187,0.81624,0.98764,0.94114,1,0.995,0.73386,1.08599,0.82819,0.95768,0.00113889,0.00113889,0.00113889
34,932.009,1.10478,0.79556,0.98929,0.89516,1,0.995,0.68412,1.12608,1.01478,0.96374,0.00112239,0.00112239,0.00112239
35,962.547,1.088,0.86089,0.97877,0.91038,1,0.995,0.72142,1.09265,0.95201,0.95409,0.00110589,0.00110589,0.00110589
36,994.064,1.07795,0.78677,0.96002,0.87077,1,0.995,0.72142,1.14989,0.86891,1.06665,0.00108938,0.00108938,0.00108938
37,1024.16,1.11321,0.81149,1.00119,0.87466,1,0.995,0.68414,1.19047,0.98255,1.13435,0.00107288,0.00107288,0.00107288
38,1057.43,1.14501,0.78258,0.98735,0.66389,1,0.995,0.65928,1.18179,0.96977,1.00903,0.00105638,0.00105638,0.00105638
39,1087.3,1.16269,0.82099,0.9816,0.90085,1,0.995,0.68416,0.95507,0.98228,1.00187,0.00103987,0.00103987,0.00103987
40,1116.46,1.08846,0.76438,0.94909,0.92074,1,0.995,0.62193,1.25563,0.90289,1.10283,0.00102337,0.00102337,0.00102337
41,1144.29,1.19163,0.81754,1.00744,0.93852,1,0.995,0.63017,1.51513,0.9537,1.01897,0.00100687,0.00100687,0.00100687
42,1173.46,1.22727,0.81973,0.98989,0.92929,1,0.995,0.66412,1.27349,0.94288,0.93198,0.000990365,0.000990365,0.000990365
43,1202.76,1.05736,0.7769,0.97876,0.92615,1,0.995,0.72141,1.11,0.76556,0.91065,0.000973861,0.000973861,0.000973861
44,1231.63,1.1522,0.79053,0.98053,0.97152,1,0.995,0.68413,1.16809,0.78948,1.01599,0.000957358,0.000957358,0.000957358
45,1260.17,1.0981,0.75296,0.9792,0.97443,1,0.995,0.67167,1.34525,0.72203,1.04043,0.000940855,0.000940855,0.000940855
46,1288.92,1.04479,0.70974,0.9457,0.95114,1,0.995,0.68412,1.26658,0.77274,0.94157,0.000924352,0.000924352,0.000924352
47,1317.69,0.99398,0.7235,0.93756,0.95746,1,0.995,0.75871,1.12259,0.81489,0.92319,0.000907848,0.000907848,0.000907848
48,1346.41,1.03035,0.73305,0.94472,0.96759,1,0.995,0.67165,1.19259,0.92074,0.98751,0.000891345,0.000891345,0.000891345
49,1374.58,1.02528,0.71669,0.93064,0.97132,1,0.995,0.67165,1.16346,0.83757,0.97355,0.000874842,0.000874842,0.000874842
50,1402.43,1.01485,0.71016,0.94436,0.9667,1,0.995,0.72352,1.15464,0.78468,0.96672,0.000858338,0.000858338,0.000858338
51,1430.39,1.0069,0.75256,0.95985,0.96379,1,0.995,0.67165,1.16237,0.77142,0.97203,0.000841835,0.000841835,0.000841835
52,1458.18,1.00068,0.71807,0.96527,0.93417,1,0.995,0.67165,1.04506,0.7639,0.94242,0.000825332,0.000825332,0.000825332
53,1485.34,1.00482,0.70804,0.96336,0.9483,1,0.995,0.80845,0.9977,0.7308,0.92023,0.000808828,0.000808828,0.000808828
54,1513.19,1.00649,0.71595,0.95628,0.92744,1,0.995,0.7587,0.96717,0.72355,0.91379,0.000792325,0.000792325,0.000792325
55,1540.57,1.00252,0.67438,0.92875,0.91186,1,0.995,0.75869,0.84721,0.75222,0.91692,0.000775822,0.000775822,0.000775822
56,1568.36,1.02061,0.68231,0.94951,0.91158,1,0.995,0.80844,0.86439,0.71513,0.9216,0.000759318,0.000759318,0.000759318
57,1596.03,0.98901,0.67955,0.95264,0.91668,1,0.995,0.75869,0.97007,0.77218,0.89835,0.000742815,0.000742815,0.000742815
58,1624.17,1.01947,0.69258,0.95,0.95366,1,0.995,0.75869,0.99091,0.67487,0.91117,0.000726312,0.000726312,0.000726312
59,1651.78,0.95839,0.64708,0.9307,0.96647,1,0.995,0.74625,0.99714,0.69299,0.89732,0.000709809,0.000709809,0.000709809
60,1679.8,0.90886,0.63535,0.90244,0.96663,1,0.995,0.67164,1.11888,0.74583,0.91202,0.000693305,0.000693305,0.000693305
61,1707.88,0.95107,0.62465,0.92071,0.96226,1,0.995,0.70894,1.21411,0.78644,0.96146,0.000676802,0.000676802,0.000676802
62,1735.75,0.96724,0.63901,0.92101,0.97635,1,0.995,0.62187,1.25951,0.77944,1.04911,0.000660299,0.000660299,0.000660299
63,1763.47,0.97763,0.63659,0.93335,0.96767,1,0.995,0.60943,1.26753,0.72688,1.05206,0.000643795,0.000643795,0.000643795
64,2835.68,0.91083,0.61948,0.93263,0.97302,1,0.995,0.60943,1.44048,0.73894,1.04461,0.000627292,0.000627292,0.000627292
65,2862.54,0.94381,0.6179,0.93755,0.9628,1,0.995,0.60943,1.39464,0.72273,1.03991,0.000610789,0.000610789,0.000610789
66,2887.62,0.95072,0.63976,0.92013,0.9619,1,0.995,0.65919,1.25486,0.68125,1.01997,0.000594286,0.000594286,0.000594286
67,2912.89,0.95392,0.61973,0.94435,0.95776,1,0.995,0.63433,1.28974,0.74173,0.99903,0.000577782,0.000577782,0.000577782
68,2938.25,0.96314,0.63349,0.93688,0.96924,1,0.995,0.64142,1.33496,0.84668,1.03106,0.000561279,0.000561279,0.000561279
69,2963.76,0.96111,0.61655,0.92413,0.9551,1,0.995,0.58462,1.31419,0.8315,1.02618,0.000544776,0.000544776,0.000544776
70,2989.2,0.90895,0.60251,0.92583,0.94851,1,0.995,0.62197,1.36597,0.80999,1.01872,0.000528272,0.000528272,0.000528272
71,3014.83,0.9303,0.61598,0.93061,0.94186,1,0.995,0.57225,1.53139,0.7706,1.02769,0.000511769,0.000511769,0.000511769
72,3041.06,0.91235,0.5857,0.90859,0.95132,1,0.995,0.65927,1.39314,0.8055,1.01555,0.000495266,0.000495266,0.000495266
73,3067.43,0.93662,0.58872,0.92371,0.95281,1,0.995,0.65928,1.25784,0.7575,0.99132,0.000478762,0.000478762,0.000478762
74,3094.61,0.95024,0.59599,0.92281,0.96117,1,0.995,0.60956,1.38123,0.72212,0.99449,0.000462259,0.000462259,0.000462259
75,3121.63,0.88147,0.58826,0.90968,0.95285,1,0.995,0.57236,1.47626,0.73235,1.01046,0.000445756,0.000445756,0.000445756
76,3150.4,0.92278,0.58876,0.93506,0.94149,1,0.995,0.62215,1.36428,0.72664,1.00358,0.000429253,0.000429253,0.000429253
77,3183.27,0.87109,0.58145,0.91853,0.93934,1,0.995,0.62221,1.23332,0.73289,0.9621,0.000412749,0.000412749,0.000412749
78,3211.11,0.85224,0.57162,0.91391,0.94098,1,0.995,0.65942,1.23533,0.77029,0.93447,0.000396246,0.000396246,0.000396246
79,3238.77,0.86238,0.57289,0.91345,0.94549,1,0.995,0.65947,1.31314,0.73999,0.94848,0.000379743,0.000379743,0.000379743
80,3267.6,0.8935,0.55969,0.91087,0.95635,1,0.995,0.70931,1.15343,0.72246,0.90888,0.000363239,0.000363239,0.000363239
81,3295.61,0.88515,0.58094,0.91207,0.95545,1,0.995,0.6597,1.17368,0.75215,0.90184,0.000346736,0.000346736,0.000346736
82,3323.82,0.90764,0.57225,0.92423,0.94284,1,0.995,0.70948,1.14833,0.71219,0.86693,0.000330233,0.000330233,0.000330233
83,3352.04,0.88503,0.57086,0.91481,0.93467,1,0.995,0.70945,1.04733,0.67418,0.85184,0.000313729,0.000313729,0.000313729
84,3380.7,0.85946,0.5494,0.90664,0.9304,1,0.995,0.77221,0.82566,0.61436,0.84418,0.000297226,0.000297226,0.000297226
85,3408.3,0.83644,0.5499,0.88179,0.9331,1,0.995,0.80893,0.80728,0.59158,0.85177,0.000280723,0.000280723,0.000280723
86,3436.4,0.83713,0.54921,0.88481,0.94329,1,0.995,0.8587,0.71558,0.54488,0.82881,0.00026422,0.00026422,0.00026422
87,3465.86,0.88574,0.55079,0.90947,0.94734,1,0.995,0.85866,0.72522,0.54364,0.83965,0.000247716,0.000247716,0.000247716
88,10015.8,0.82382,0.54546,0.89916,0.95044,1,0.995,0.85862,0.7281,0.51718,0.83277,0.000231213,0.000231213,0.000231213
89,10041.1,0.8415,0.5178,0.88652,0.95201,1,0.995,0.80887,0.78802,0.58617,0.8579,0.00021471,0.00021471,0.00021471
90,10080.2,0.82486,0.52785,0.8908,0.95339,1,0.995,0.77194,0.87048,0.58066,0.88779,0.000198206,0.000198206,0.000198206
91,10118.6,0.7761,0.5171,0.87678,0.95213,1,0.995,0.77198,0.90172,0.59978,0.89065,0.000181703,0.000181703,0.000181703
92,10144,0.79643,0.52733,0.88184,0.94372,1,0.995,0.75918,0.88639,0.59367,0.86954,0.0001652,0.0001652,0.0001652
93,10179.9,0.80455,0.52928,0.89441,0.93767,1,0.995,0.7593,0.95025,0.63855,0.8737,0.000148696,0.000148696,0.000148696
94,10204.1,0.79738,0.5258,0.88269,0.93585,1,0.995,0.75926,0.99729,0.59011,0.90278,0.000132193,0.000132193,0.000132193
95,10244.6,0.77013,0.52641,0.87251,0.93844,1,0.995,0.75937,1.00626,0.64849,0.91846,0.00011569,0.00011569,0.00011569
96,10285.3,0.79139,0.51996,0.90013,0.94494,1,0.995,0.75961,1.01982,0.67987,0.93367,9.91865e-05,9.91865e-05,9.91865e-05
97,10309.9,0.74365,0.52038,0.87845,0.94741,1,0.995,0.75954,1.02463,0.68182,0.935,8.26832e-05,8.26832e-05,8.26832e-05
98,18284.8,0.77227,0.512,0.87283,0.95106,1,0.995,0.75933,1.04286,0.64585,0.93999,6.61799e-05,6.61799e-05,6.61799e-05
99,18312.1,0.76421,0.51283,0.87355,0.95162,1,0.995,0.75933,1.04511,0.63874,0.93845,4.96766e-05,4.96766e-05,4.96766e-05
100,18345.8,0.8052,0.5194,0.88942,0.95187,1,0.995,0.75933,1.05215,0.63981,0.94141,3.31733e-05,3.31733e-05,3.31733e-05
